customer,company_code,payment_terms,reconciliation_account,deletion_indicator,customer_account_group,_source_file,_source_row
310000108,ABCD,,15500010,0,Y101,part-20251119-133436-59.jsonl,1
310000109,ABCD,,15500010,0,Y101,part-20251119-133436-59.jsonl,2
320000082,ABCD,,15500020,1,Y102,part-20251119-133436-59.jsonl,3
320000083,ABCD,,15500020,1,Y102,part-20251119-133436-59.jsonl,4
320000085,ABCD,,15500020,1,Y102,part-20251119-133436-59.jsonl,5
320000088,ABCD,,15500020,1,Y102,part-20251119-133436-59.jsonl,6
320000107,ABCD,Z001,15500020,1,Y102,part-20251119-133436-59.jsonl,7
320000108,ABCD,Z001,15500020,1,Y102,part-20251119-133436-59.jsonl,8
